"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1123723719719948290","x1271292991282561025",2020-06-12 04:07:23,"btxtsz","esse episódio de hoje foi tudoooooo #LegendaryMAX","Twitter for Android",49,,,,FALSE,FALSE,0,0,,,"LegendaryMAX",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/btxtsz/status/1271292991282561025","₅ɑnɑ⁷🐋","ꭑ⍺ɠıc sƖɑᥒɗ +✶𖧵 ","⠀⠀⠀⠀⠀ ⠀ ⠀⠀𖧧࣪ ๑ #ᎢꭕᎢ: 𝐛𝐥𝐚𝐜𝐤 𝐨𝐫 𝐰𝐡𝐢𝐭𝐞, 𝐩𝐢𝐜𝐤 𝐚 𝐜𝐨𝐥𝐨𝐫s 𖧧࣪ ๑",,FALSE,665,780,15,8725,29598,2019-05-01 22:59:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/1123723719719948290/1591911378",,"http://pbs.twimg.com/profile_images/1271582499194445829/5eeyskIA_normal.jpg"
"x1123723719719948290","x1271294265650548736",2020-06-12 04:12:27,"btxtsz","caras assistam #legendaryMAX hino de reality, serve tudo que as yags gostam","Twitter for Android",75,,,,FALSE,FALSE,1,0,,,"legendaryMAX",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/btxtsz/status/1271294265650548736","₅ɑnɑ⁷🐋","ꭑ⍺ɠıc sƖɑᥒɗ +✶𖧵 ","⠀⠀⠀⠀⠀ ⠀ ⠀⠀𖧧࣪ ๑ #ᎢꭕᎢ: 𝐛𝐥𝐚𝐜𝐤 𝐨𝐫 𝐰𝐡𝐢𝐭𝐞, 𝐩𝐢𝐜𝐤 𝐚 𝐜𝐨𝐥𝐨𝐫s 𖧧࣪ ๑",,FALSE,665,780,15,8725,29598,2019-05-01 22:59:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/1123723719719948290/1591911378",,"http://pbs.twimg.com/profile_images/1271582499194445829/5eeyskIA_normal.jpg"
"x15068014","x1271293811143172096",2020-06-12 04:10:38,"joaouchoa","Quando comecei #LegendaryMAX achei que ia gostar muito de House of Escada, mas eles pra mim são os mais básicos e lineares até agora. :/","Twitter for iPhone",136,,,,FALSE,FALSE,3,0,,,"LegendaryMAX",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/joaouchoa/status/1271293811143172096","um se é que me entendes subliminar","","no drug like me",,FALSE,1780,1002,19,88349,41625,2008-06-10 01:22:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/15068014/1583259993","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1240389628231811072/dyHDC0iU_normal.jpg"
"x15068014","x1271290407742091264",2020-06-12 03:57:07,"joaouchoa","o harness rosa de jamari tudo pra mim #LegendaryMAX","Twitter for iPhone",51,,,,FALSE,FALSE,0,0,,,"LegendaryMAX",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/joaouchoa/status/1271290407742091264","um se é que me entendes subliminar","","no drug like me",,FALSE,1780,1002,19,88349,41625,2008-06-10 01:22:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/15068014/1583259993","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1240389628231811072/dyHDC0iU_normal.jpg"
"x15068014","x1271283947813531649",2020-06-12 03:31:27,"joaouchoa","E vamos de #LegendaryMAX. https://t.co/TIXHWqNgi3","Twitter for iPhone",25,,,,FALSE,FALSE,2,0,,,"LegendaryMAX",,,,,"http://pbs.twimg.com/media/EaSCAcWUwAAtHMT.jpg","https://t.co/TIXHWqNgi3","https://twitter.com/joaouchoa/status/1271283947813531649/photo/1","photo","http://pbs.twimg.com/media/EaSCAcWUwAAtHMT.jpg","https://t.co/TIXHWqNgi3","https://twitter.com/joaouchoa/status/1271283947813531649/photo/1",,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/joaouchoa/status/1271283947813531649","um se é que me entendes subliminar","","no drug like me",,FALSE,1780,1002,19,88349,41625,2008-06-10 01:22:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/15068014/1583259993","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1240389628231811072/dyHDC0iU_normal.jpg"
"x891032987462242304","x1271290915210973184",2020-06-12 03:59:08,"lelethlet_","A Casa Lanvin é perfeita, puta merda #LegendaryMax","Twitter for Android",50,,,,FALSE,FALSE,1,0,,,"LegendaryMax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lelethlet_/status/1271290915210973184","vampira andróide ✊🏿✊🏾✊🏽","São Luís, Brasil","vim do lixo pra beijar o luxo","https://t.co/zLJcpRPt3Y",FALSE,384,508,0,11640,30332,2017-07-28 20:29:53,FALSE,"https://t.co/zLJcpRPt3Y","http://instagram.com/leticiaaires_",,"https://pbs.twimg.com/profile_banners/891032987462242304/1540563517",,"http://pbs.twimg.com/profile_images/1257195654578913280/lBFRsGyW_normal.jpg"
"x891032987462242304","x1271293038996922368",2020-06-12 04:07:34,"lelethlet_","Jarrel é um gostoso, mas não vale a casa GUCCI ser arrastada assim, a única surpresa e apresentação decente que teve foi a do Circo, dessa semana foi uó #LegendaryMax","Twitter for Android",166,,,,FALSE,FALSE,3,0,,,"LegendaryMax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lelethlet_/status/1271293038996922368","vampira andróide ✊🏿✊🏾✊🏽","São Luís, Brasil","vim do lixo pra beijar o luxo","https://t.co/zLJcpRPt3Y",FALSE,384,508,0,11640,30332,2017-07-28 20:29:53,FALSE,"https://t.co/zLJcpRPt3Y","http://instagram.com/leticiaaires_",,"https://pbs.twimg.com/profile_banners/891032987462242304/1540563517",,"http://pbs.twimg.com/profile_images/1257195654578913280/lBFRsGyW_normal.jpg"
"x891032987462242304","x1271280383439634432",2020-06-12 03:17:17,"lelethlet_","A Jameela entrega tudo com as roupas dela de acordo com a temática #LegendaryMAX","Twitter for Android",80,,,,FALSE,FALSE,0,0,,,"LegendaryMAX",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lelethlet_/status/1271280383439634432","vampira andróide ✊🏿✊🏾✊🏽","São Luís, Brasil","vim do lixo pra beijar o luxo","https://t.co/zLJcpRPt3Y",FALSE,384,508,0,11640,30332,2017-07-28 20:29:53,FALSE,"https://t.co/zLJcpRPt3Y","http://instagram.com/leticiaaires_",,"https://pbs.twimg.com/profile_banners/891032987462242304/1540563517",,"http://pbs.twimg.com/profile_images/1257195654578913280/lBFRsGyW_normal.jpg"
"x799036440088809472","x1271292996760358912",2020-06-12 04:07:24,"Gabigattie","Eu adorei o ep de hoje #LegendaryMAX","Twitter for Android",36,,,,FALSE,FALSE,0,0,,,"LegendaryMAX",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Gabigattie/status/1271292996760358912","GATTIΣ","São Paulo, Brasil","𝔼𝕤𝕔𝕠𝕝𝕙𝕚 𝕦𝕞 𝕔𝕒𝕞𝕚𝕟𝕙𝕠 𝕡𝕣𝕒 𝕥𝕣𝕚𝕝𝕙𝕒𝕣 𝕤𝕠𝕫𝕚𝕟𝕙𝕠.",,FALSE,114,304,0,3231,9261,2016-11-16 23:48:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/799036440088809472/1560740373",,"http://pbs.twimg.com/profile_images/1266573530281500672/5Owmib3k_normal.jpg"
"x14904591","x1271292748226756608",2020-06-12 04:06:25,"BrunoEngel","Esse bear do Escada é o que queria pra me aquecer nessa noite #LegendaryMax","Twitter for Android",75,,,,FALSE,FALSE,0,0,,,"LegendaryMax",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BrunoEngel/status/1271292748226756608","BRUΠO","Brasília","Uma mistura de reclamações e aleatoriedades","https://t.co/eN4uPljKb7",FALSE,1514,599,74,191842,6511,2008-05-26 03:09:20,FALSE,"https://t.co/eN4uPljKb7","http://instagram.com/brunengel",,"https://pbs.twimg.com/profile_banners/14904591/1491421890","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1250239243349364738/ND73H0Ws_normal.jpg"
